Factor,FactorType
US_DOLLAR,Currency
BETA,Style
DIVYILD,Style
EARNQLTY,Style
EARNYILD,Style
GROWTH,Style
LEVERAGE,Style
LIQUIDTY,Style
LTREVRSL,Style
MGMTQLTY,Style
MIDCAP,Style
MOMENTUM,Style
PROFIT,Style
PROSPECT,Style
RESVOL,Style
SIZE,Style
VALUE,Style
OILGSEXP,Industry
OILGSCON,Industry
CHEM,Industry
SPTYCHEM,Industry
PRECMTLS,Industry
AERODEF,Industry
INDMACH,Industry
TRADECO,Industry
CONGLOM,Industry
ROADRAIL,Industry
AUTO,Industry
NETRET,Industry
SPLTYRET,Industry
PSNLPROD,Industry
FOODPROD,Industry
BEVTOB,Industry
HLTHEQP,Industry
MGDHLTH,Industry
PHARMA,Industry
BANKS,Industry
DIVFIN,Industry
INSURNCE,Industry
REALEST,Industry
SEMICOND,Industry
INTERNET,Industry
SOFTWARE,Industry
COMPELEC,Industry
TELECOM,Industry
WIRELESS,Industry
ELECUTIL,Industry
GASUTIL,Industry
MULTUTIL,Industry
COUNTRY,Country
